food_id,batch_id,source,source_food_id,name,category,source_url
FC001216,batch-1,FNRI,N031,"Shrimp paste, sauteed",Condiments,https://i.fnri.dost.gov.ph/fct/library/report/4354
FC001217,batch-1,FNRI,R026,"Beef & tomato spread, cnd",Prepared Foods,https://i.fnri.dost.gov.ph/fct/library/report/4446
FC001218,batch-1,FNRI,R030,"Beef hamburger w/ tomato sce, cnd",Prepared Foods,https://i.fnri.dost.gov.ph/fct/library/report/4450
FC001219,batch-1,FNRI,R037,"Beef w/ mushroom sce, cnd",Prepared Foods,https://i.fnri.dost.gov.ph/fct/library/report/4457
FC001220,batch-1,FNRI,R039,"Beef, chili con carne, cnd",Prepared Foods,https://i.fnri.dost.gov.ph/fct/library/report/4459
FC001221,batch-1,FNRI,R041,"Corned beef hash, cnd",Prepared Foods,https://i.fnri.dost.gov.ph/fct/library/report/4461
FC001222,batch-1,FNRI,R065,"Chicken noodle broth, inst",Prepared Foods,https://i.fnri.dost.gov.ph/fct/library/report/4485
FC001223,batch-1,FNRI,R067,"Soup, beef & veg, cnd",Prepared Foods,https://i.fnri.dost.gov.ph/fct/library/report/4487
FC001224,batch-1,FNRI,R069,"Soup, chicken & asparagus, cnd",Prepared Foods,https://i.fnri.dost.gov.ph/fct/library/report/4489
FC001225,batch-1,FNRI,R070,"Soup, chicken & veg, cnd",Prepared Foods,https://i.fnri.dost.gov.ph/fct/library/report/4490
FC001226,batch-1,FNRI,R076,"Soup, cream of mushroom, cnd",Prepared Foods,https://i.fnri.dost.gov.ph/fct/library/report/4496
FC001227,batch-1,FNRI,R079,"Soup, pansit molo, cond, cnd",Prepared Foods,https://i.fnri.dost.gov.ph/fct/library/report/4499
FC001228,batch-1,FNRI,R081,"Soup, sotanghon, cond",Prepared Foods,https://i.fnri.dost.gov.ph/fct/library/report/4501
FC001229,batch-1,FNRI,R108,"Pork ball, wrapped",Prepared Foods,https://i.fnri.dost.gov.ph/fct/library/report/4528
FC001230,batch-1,USDA,171889,"Beverages, coffee, brewed, prepared with tap water, decaffeinated",Beverages,https://fdc.nal.usda.gov/food-details/171889/nutrients
FC001231,batch-1,USDA,171890,"Beverages, coffee, brewed, prepared with tap water",Beverages,https://fdc.nal.usda.gov/food-details/171890/nutrients
FC001232,batch-1,USDA,171891,"Beverages, coffee, brewed, espresso, restaurant-prepared",Beverages,https://fdc.nal.usda.gov/food-details/171891/nutrients
FC001233,batch-1,USDA,174130,"Beverages, coffee, instant, regular, prepared with water",Beverages,https://fdc.nal.usda.gov/food-details/174130/nutrients
FC001234,batch-1,USDA,174125,"Beverages, coffee, brewed, espresso, restaurant-prepared, decaffeinated",Beverages,https://fdc.nal.usda.gov/food-details/174125/nutrients
FC001235,batch-1,USDA,174119,"Beverages, coffee, ready to drink, iced, mocha, milk based",Beverages,https://fdc.nal.usda.gov/food-details/174119/nutrients
